title,company,state,location,category,type,pay,description,sourceUrl
Grape pickers needed,Employer (see description),QLD,Heywood,farm,casual,,"Grape pickers needed to be part of a friendly team to help us harvest our grapes. Your own transport and accommodation is essential, as we are a property situated in the south west of Victoria. The harvest will be from the 7th April till about the 14th or 15th April. There is free camping nearby in the Anya State forest, or a holiday park in the nearest town, Heywood. This is a beautiful part of Victoria and well worth a visit. There is the possibility of further work in a vineyard after we have completed our harvest. Please consider joining our lovely group of people. Send interest through gumtree please. https://www.gumtree.com.au/web/listing/horticulture/1341389329",https://www.gumtree.com.au/web/listing/horticulture/1341389329
Bar Staff,The Gibson in Stafford,QLD,Stafford,hospitality,casual,,"The Gibson in Stafford is looking for bar staff.
Busy venue with steady shifts. Please send a resume to info@thegibson.com.au",
Bartender Wanted Fri & Sat nights,Employer (see description),QLD,Fortitude Valley,hospitality,casual,,"Weekend Work
Bartender Wanted Fri & Sat nights Fortitude Valley
The Ruby Jazz club is opening mid April and we require an experienced bar tender Friday and Saturday nights. We are a small friendly team and the vibe of the place is relaxed and welcoming. It's a small restaurant style venue. Best thing is you get to listen to fabulous live jazz bands during your shift. Please send your application to Meredith via email- meredithbrothers@icloud.com",
Cleaning job wanted,our growing cleaning,QLD,Bundamba,cleaning,casual,,"We are currently seeking reliable and friendly individuals to join our growing cleaning team for a scheduled role,
This job located at ( Jet Place, Bundamba)
working FIVE DAYS A WEEK . 5 HOURS A DAY ONLY WEDNESDAY 6 HOURS & HALF. START WORKING AT. 6:00 AM
No experience? No problem! We welcome applicants of all experience levels. Whether you are new to the industry or have previous cleaning experience, we provide full training and all necessary PPE to ensure you feel confident and supported in your role.
Please send your contact details,
VISA , COPY OF YOUR PASSPORT , BLUE CARD , POLICE CHECK not older than 6 month , FULL NAME and PHONE NUMBER to our email address
( alaskacleaningservicesptyltd@gmail.com )",
Experienced Bar & Gaming Attendant,Redland Bay Golf Club,QLD,Redland,hospitality,casual,,"Hi BBN!
Redland Bay Golf Club is seeking an experienced bar and gaming attendant to join our team! ⛳️
Job Title: Bar & Gaming Attendant
Location: Redland Bay Golf Club
Employment Type: Casual
About the Role:
We are seeking a reliable and customer-focused Bar & Gaming Attendant to join our team. In this role, you will be responsible for delivering excellent customer service across both bar and gaming areas, ensuring a welcoming, safe, and enjoyable environment for all patrons.
Key Responsibilities:
- Provide friendly and efficient bar service, including preparing and serving beverages
- Operate gaming machines in accordance with regulations and venue policies
- Assist customers with gaming enquiries and machine operation
- Monitor gaming areas to ensure compliance with responsible service of gaming practices
- Handle cash transactions and operate POS systems accurately
- Maintain cleanliness and presentation of bar and gaming areas
- Work collaboratively with team members to ensure smooth daily operations
Skills & Experience:
- Previous experience in hospitality, bar, gaming, events or as a barista
- Current RSA and RSG certificates REQUIRED
- Strong communication and interpersonal skills
- Ability to work in a fast-paced environment
- High attention to detail and responsible attitude
- Flexible availability, including evenings, early mornings, weekends, and public holiday
Send your resume via email to: rhiannon@redlandbaygolf.com.au",
Farm hand needed for a small chicken farm,Employer (see description),QLD,Beerburrum,farm,casual,,A farm hand needed for a small chicken farm in Beerburrum. Duties include but not limited to picking up dead chickens and help with farming duties. around 20h a week from 6 am to 10 am Monday to Friday if interested please call 0431346269.,
Warehouse Job,Employer (see description),QLD,QLD,retail,casual,,"We are an electronics retailer currently seeking committed and hardworking warehouse staff to become part of our team. You will be responsible for stock counting, sorting, scaning, and labeling parcels while following WHS (Workplace Health and Safety) practices and company policies.
We offer:
- friendly and supportive team environment
- great hourly rate and consistent hours.
We require:
- strong work ethic and reliability
- self-motivated & result oriented attitude.
Interested candidates please send your resume to: sakiraliya9@gmail.com",
Demolition Labourers,All Stripped Brisbane,QLD,Brisbane,construction,casual,,"All Stripped Brisbane are looking for non-structural demolition labourers and leading hand to assist on our daily operations around Brisbane suburbs. Immediate start, with ongoing work.
You will need your own PPE, white card and transport to get to the various job sites weekly.
Check out www.allstripped.com.au for further information on what we do.
Please send resume to : mikee@allstripped.com.au or MSG your experience and details to 0449817978",
🌱💧 Farmwork Available💧🌱,Employer (see description),QLD,QLD,farm,casual,,"We’re currently looking for motivated workers for irrigation and planting jobs.
✅ Great opportunity to gain farm experience
✅ Eligible work that counts towards your 88 days
✅ Friendly team and supportive environment
If you’re hardworking, reliable, and ready to go, don’t wait—get in touch with us today!
📧 Email: farmwork@ayrbackpackers.com.au
📞 Phone: 0468 086 322",
𝗪𝗲’𝗿𝗲 𝗛𝗶𝗿𝗶𝗻𝗴 – 𝗖𝗮𝘀𝘂𝗮𝗹 𝗖𝘂𝗹𝗶𝗻𝗮𝗿𝘆 𝗦𝗲𝗿𝘃𝗶𝗰𝗲𝘀 𝗧𝗲𝗮𝗺 𝗠𝗲𝗺𝗯𝗲𝗿𝘀!,Cairns Convention Centre,QLD,Cairns,hospitality,casual,,"Cairns Convention Centre is looking for enthusiastic locals to join our Culinary Services team, across front and back of house.
Casual roles available:
• Culinary Service Attendants
• Kitchen Assistants
• Kitchen Stewards
• Chefs
This is an ideal opportunity if you’re studying, semi‑retired, looking to earn extra income or seeking flexible casual work. Experience in hospitality or kitchen environments will be highly regarded.
Shortlisted applicants will need to be available for an in‑person interview on Tuesday 14 April (3.00pm–5.00pm) or Wednesday 15 April (10.00am–12.00pm), and be able to commence flexible rostered work, including weekends and evenings, from Friday 17 April onwards.
Please ensure you clearly state the role you are applying for in your resume or cover letter.
Apply via the link here: https://bit.ly/4sIuEzf",https://bit.ly/4sIuEzf
